period,region,con,arv_count
2013-01,Americas,Canada,13080
2013-01,Americas,USA,48815
2013-01,Americas,Other Countries in Americas,6742
2013-01,Asia,Brunei Darussalam,4709
2013-01,Asia,Indonesia,257842
2013-01,Asia,Malaysia,70860
2013-01,Asia,Myanmar,7096
2013-01,Asia,Philippines,48667
2013-01,Asia,Thailand,29867
2013-01,Asia,Vietnam,22569
2013-01,Asia,Other Countries in Southeast Asia,3151
2013-01,Asia,China,209373
2013-01,Asia,Taiwan,33083
2013-01,Asia,Japan,67467
2013-01,Asia,South Korea,55775
2013-01,Asia,Other Countries in North Asia,1243
2013-01,Asia,Bangladesh,10671
2013-01,Asia,India,79046
2013-01,Asia,Nepal,1654
2013-01,Asia,Pakistan,2128
2013-01,Asia,Sri Lanka,7724
2013-01,Asia,Other Countries in South Asia,816
2013-01,Asia,Iran,940
2013-01,Asia,Israel,1390
2013-01,Asia,Kuwait,345
2013-01,Asia,Saudi Arabia,1627
2013-01,Asia,United Arab Emirates,961
2013-01,Asia,Other Countries in West Asia,1164
2013-01,Europe,Austria,2683
2013-01,Europe,Belgium &  Luxembourg,2194
2013-01,Europe,Denmark,4162
2013-01,Europe,Finland,4175
2013-01,Europe,France,15830
2013-01,Europe,Germany,24858
2013-01,Europe,Greece,773
2013-01,Europe,Italy,7253
2013-01,Europe,Netherlands,8611
2013-01,Europe,Norway,3408
2013-01,Europe,Poland,2722
2013-01,Europe,Rep of Ireland,2832
2013-01,Europe,Russian Federation (CIS),12959
2013-01,Europe,Spain,2442
2013-01,Europe,Sweden,7441
2013-01,Europe,Switzerland,6503
2013-01,Europe,Turkey,2410
2013-01,Europe,UK,53148
2013-01,Europe,Other Countries in Eastern Europe,10695
2013-01,Europe,Other Countries in Western Europe,1411
2013-01,Oceania,Australia,105975
2013-01,Oceania,New Zealand,12646
2013-01,Oceania,Other Countries in Oceania,762
2013-01,Africa,Egypt,384
2013-01,Africa,Mauritius,967
2013-01,Africa,South Africa (Rep of),3589
2013-01,Africa,Other Countries in Africa,1853
2013-01,Not Stated,Not Stated,227
2013-02,Americas,Canada,13029
2013-02,Americas,USA,45616
2013-02,Americas,Other Countries in Americas,5252
